Program Type,Community Type,Revitalizations ,,Street Address,City Jurisdiction,,Management Agent,Community Name,Property Type,PHA,RAD/PBV,HomeFlex,HomeFlex/Haven,VMS Reporting Total Available HomeFlex Units ,LIHTC,Market,"Other (EE/Officer, Voucher, Other PHA )",TOTAL Units,% Subsidized
HomeFlex/Mixed,Sponsored,Grady Homes,,115 Hillard Street,Atlanta,,Integral Property Management,Veranda at Auburn Pointe,Senior,38, 	-   ,86, 	-   ,, 	- 0, 	- 0, 	- 0,38 ,326.3%
HomeFlex,Sponsored,Grady Homes,,55 Hillard Street ,Atlanta,,Integral Property Management,Veranda at Auburn Pointe II,Senior, 	-   , 	-   ,93,5,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex,Sponsored,Grady Homes,,315 Tanner Street,Atlanta,,Integral Property Management,Veranda at Auburn Pointe III,Senior, 	-   , 	-   ,96,6,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex,Sponsored,Carver Homes,1,214 Thirkeld Avenue,Atlanta,,Integral Property Management,Veranda at Carver,Senior, 	-   , 	-   ,90, 	-   ,, 	- 0, 	- 0, 	- 0,0 ,
Mixed,Sponsored,John Hope Homes,,600 Greensferry Avenue,Atlanta,,HJ Russell,Villages at Castleberry Hill II,Family,114, 	-   , 	-   , 	-   ,, 	57 , 	113 , 	- 0,284 ,40.1%
HomeFlex,Sponsored,Harris Homes,,372 Legacy Drive,Atlanta,,Integral Property Management,Veranda at CollegeTown,Senior, 	-   , 	-   ,100, 	-   ,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex,Sponsored,Grady Homes,,138 Lawshe Street,Atlanta,,Integral Property Management,Veranda at Scholars Landin,Senior, 	-   , 	-   ,100, 	-   ,, 	- 0, 	- 0, 	- 0,0 ,
Mixed,Sponsored,Carver Homes,,174 Moury Drive,Atlanta,,Integral Property Management,Villages at Carver I,Family,110, 	-   , 	- 0, 	-   ,, 	44 , 	66 , 	- 0,220 ,50.0%
Mixed,Sponsored,Carver Homes,,174 Moury Drive,Atlanta,,Integral Property Management,Villages at Carver II,Family,33, 	-   , 	-   , 	-   ,, 	7 , 	26 , 	- 0,66 ,50.0%
Mixed,Sponsored,Carver Homes,,174 Moury Drive,Atlanta,,Integral Property Management,Villages at Carver III,Family,108, 	-   , 	-   , 	-   ,, 	54 , 	54 , 	- 0,216 ,50.0%
Mixed,Sponsored,Carver Homes,,174 Moury Drive,Atlanta,,Integral Property Management,Villages at Carver V,Family,78, 	-   , 	-   , 	-   ,, 	45 , 	42 , 	- 0,165 ,47.3%
HomeFlex,Sponsored,Grady Homes,,"134 John Hope Drive, SW",Atlanta,,Integral Property Management,Oasis at Scholars Landing,Senior, 	- 0, 	-   , 	-   ,60,, 	- 0, 	- 0, 	- 0,0 ,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Subtotal - Mixed,36," 	1,532 ", 	-   ," 	1,279 ", 	79 , 	-   , 	821 ," 	1,613 ", 	96 ," 	4,062 ",
Mixed,Sponsored,,,"355 North Ave, NE",Atlanta,,,Cosby Spear Highrise,Senior,282 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   ,282 ,100%
Mixed,Sponsored,,,380 Eva Davis Way,Atlanta,,,East Lake Highrise,Senior,149 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	1 ,150 ,99%
Mixed,Sponsored,,,"2440 Barge Road,SW",Atlanta,,,Barge Road Highrise,Senior,129 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	1 ,130 ,99%
Mixed,Sponsored,,,"2170 Cheshire Bridge Rd, NE",Atlanta,,,Cheshire Bridge Road Highrise,Senior,162 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   ,162 ,100%
Mixed,Sponsored,,,"760 Sidney Marcus Blvd, NE",Atlanta,,,Marian Road Highrise,Senior,240 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   ,240 ,100%
Mixed,Sponsored,,,"600 Martin Street, SE",Atlanta,,,Martin Street Plaza,Family,59 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	1 ,60 ,98%
Mixed,Sponsored,,,"174 Georgia Ave, SE",Atlanta,,,Georgia Avenue Highrise,Senior,79 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	2 ,81 ,98%
Mixed,Sponsored,,,"1422 Piedmont Ave, NE",Atlanta,,,Westminster,Family,32 , 	-   , 	-   , 	-   ,, 	-   , 	-   , 	-   ,32 ,100%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,"1,132 ", 	-   , 	-   , 	-   ,, 	-   , 	-   , 	5 ,"1,137 ",
,,,,,,,,Total,116," 	2,664 "," 	1,499 "," 	5,899 ", 	630 ," 	1,533 "," 	2,743 "," 	3,106 ", 	609 ," 	7,610 ",
,,,,,,,,,,,,,,,,,,,
